text,answer,bullyingword
 is truace single yesssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss 4 theee lasttt timeee ask him http www formspring me truace,no,n a
 justin bieber is my driving teacher oohh yess bahah we gonna be doing sumthing else instead of him teaching me how to drive lmao hahahaha teachin him how to ur his stickshift mwhahahahahaha i llalala love you best frann ,no,we gonna be doing sumthing else instead of him teaching me how to drive
 justin bieber is my driving teacher oohh yess bahah we gonna be doing sumthing else instead of him teaching me how to drive lmao hahahaha teachin him how to ur his stickshift mwhahahahahaha i llalala love you best frann ,no,n a
 lol oo no guurrrl u must be crazy b c i love u muchoo uhhh lmao u got me lmao jkjk we can go on 4 like eva lezzzdoooittt i love you more than yo own momma ahha ,no,n a
 love you baby love you more babe 3,no,n a
 love you baby love you more babe 3,no,none
 love youu sexy thang mwahaha thank yuh meh sexy bitch who is this haha,yes,sexy bitch
 love youu sexy thang mwahaha thank yuh meh sexy bitch who is this haha,no,n a
 mammaasss how are you haha go to skype d yoooooooooooooo its late haha i have church tmrw bhut soon kay srry ,no,n a
 miley amp bieber miley s a hoochie bieber all thee way ghurl or boy 33,no,n a
 nope im not bianca either heres a clue i come from new zealand lol chrisssy hahahahah chantelle alesha kailee tori lmfao iddkkkkk,no,none
 nope im not bianca either heres a clue i come from new zealand lol chrisssy hahahahah chantelle alesha kailee tori lmfao iddkkkkk,no,n a
 nopeee my name starts with b o omfg nooo wayyyy ughhh broookkkeeeee omfg im soo srry lmao lots of pplz r frmh zew zealand lmao i fukkinnn luvv yuhhhh hahaha ,no,n a
 oh visit me if you travel the world kthxbye xx hahah helllz yess i will mamas 3 love u ,no,n a
 omg justin bieber haha omg ahhhh where he go damn it he just fell off my window sil haha jk ,no,n a
 rate yurself i love justin bieber he s a 1000000000 on a 1 10 scale ha ,no,n a
 shut up ur prettty ll shut up your prettier 33,no,n a
 sneakers or sandals sandals 4suree d i wear them in thee winter 2 no lie haha,no,n a
 sooooooo srry this is late im juzz doin mothur freakin boring zzzzzz zzzz snore snore lmbo hhahahahaah ohh noo problem mamas ahah me2 im soo exhaustedd yawn ywan lmao ,no,n a
 the girl on your background bottom right hand corner looks like anna maria perez de tagle aww yeahh she is my best friend raphaela haha she is german so i guess thts why lmao 3,no,n a
 tht woul b so cool if u were here so i can me u ikrr that wud be awesome i wish d,no,n a
 wat state do u live in texas amp yuh hun xox,no,n a
 well dats so tight ur friends wit truace how does it feel 2 kno him since ur his friend u wud kno does he hav a gf ohhkayy first offf i was playin i mean he is a really nice person dnt kno him like all that bhut u should ask him ,no,n a
 well u say any language so coba tebak ini bahasa apa kamu ngerti ngga aku ngomong apa huh that doesnt make sense guns something lmao come again lol,no,n a
 what are you most excited about right now ummm summer bein almost here who isnt haha,no,n a
 what did you dream about last night shh dnt tell any1 k haha nothing mwah ,no,n a
 what do u guys prefer jonas brothers or justin bieber ahhh i love em both but i would go for justin bieber well because i m older but i perfer them both ,no,n a
 what do you think about formspring me so far its da shit fun stuff,no,n a
 what do you think is your most attractive feature my eyes they are light brown and beautidul in the sun thanks god oh and my hands and ass lol jkjk ,no,n a
 what do you think was the greatest invention in your lifetime thee comp or cellfonne hehe,no,n a
 what kind of glasses do you have guess haha no its the brand name ,no,n a
 what kind of music can you just not stand to listen to i cannot listen to that heavy metal i like me some rock oldies bhut not that scary shit d,no,n a
 what kind of music can you just not stand to listen to i cannot listen to that heavy metal i like me some rock oldies bhut not that scary shit d,no,none
 what music are you listening to today everything really ahhaha lovin my hiphop atm ester dean is thee shyyttt ,no,n a
 what one thing are you exceptionally good at urgh this is difficult to answer haha umm prob fixing computers ha yes i said it im like a wiz at fixin comps that myself and mom destroy ahaha ,no,n a
 what one thing are you exceptionally good at urgh this is difficult to answer haha umm prob fixing computers ha yes i said it im like a wiz at fixin comps that myself and mom destroy ahaha ,no,na
 what tv show do you wish would go off the air for good the hills chuz lauren was thee whole point it was clld thee hills and there is 2much drama bhut i still wtch it chuz i love 2 laugh at thee dumb shit spencer is a prick btw 0,no,n a
 what was the best concert you went to jonas brothers concert 8 13 09 d i still love em bhut justin bieber is thee shit ,no,n a
 what was the happiest moment in your life i have many 2many actually bhut i guess when i found my lifetime friends d,no,n a
 what was the last book you read the miracle worker,no,n a
 what was the worst advice you 039 ve ever received this person actually told me this quot fried quot i had was not a true friend and she wants me 2 still be this person s friend thats a nono ,no,n a
 what was the worst concert you went to never been 2 1 tht was bad ,no,n a
 what was the worst job you 039 ve ever had i can t complain chuz i dnt have or had one hahaha soon though real soon ,no,n a
 what was the worst place you 039 ve traveled to georgia columbus 2 b exact i dislike it boring hotlanta is where its at ,none,n a
 what was the worst place you 039 ve traveled to georgia columbus 2 b exact i dislike it boring hotlanta is where its at ,no,n a
 what was your favorite birthday gift life haha umm idk thats hard ,no,n a
 what was your favorite toy to play with as a child now how the fuck am i suppose to remember that weirdo maybe it was ur moms dick lol ,yes, maybe it was ur moms dick 
 what was your favorite toy to play with as a child now how the fuck am i suppose to remember that weirdo maybe it was ur moms dick lol ,yes,the second poster gave an offensive and insulting answer to a simple question 
 what was your favorite toy to play with as a child now how the fuck am i suppose to remember that weirdo maybe it was ur moms dick lol ,no,maybe it was ur moms dick
 what was your favorite year 1995 haha when i was bornwas my year doh i didnt have 2 do anything on my own haha,no,n a
 what was your worst travel experience ha goin to georgia just to see my dad s mother ugh i cnt stand her bhut god bless her soul long life story haha,no,n a
 what website do you spend the most time on oh good 1 twitter ofcousre i love me some twitter peeps they tha shit lol,no,n a
 what website do you spend the most time on oh good 1 twitter ofcousre i love me some twitter peeps they tha shit lol,no,none
 what would be the best workplace perk idk wait whaaaa lol,no,n a
 what would your perfect day look like me amp god eatin chicken wings on his throne 3 ahaha,no,n a
 what 039 s one food you 039 ll never eat again brussel srouts yuckie bhut i love cabbage and they re mini cabbages lmao ,no,n a
 what 039 s one thing you own that you should probably throw away but never will my old school shit i wud sooo throw it away bhut my mom urgh,no,n a
 what 039 s the best gift you 039 ve ever given the important 1 is love bhut ive given people themselves like i let my friends have themselves instead of me it helps to see who they are as a person very important viseversa ,no,n a
 what 039 s the best gift you 039 ve ever given the important 1 is love bhut ive given people themselves like i let my friends have themselves instead of me it helps to see who they are as a person very important viseversa ,no,none
 what 039 s the best place near you to get a drink hahaha wait wht kind of drink lol well jackinthebox is like not evn a mile away frmh my house so there i guess thts wht ur askin lmao xp,no,n a
 what 039 s the best place near you to get some ice cream hmmm u makin me hungry first of all amp amp dairy queen yumm ,no,n a
 what 039 s the best place near you to get some ice cream umm diary queen or jackinthebox 4 my smoothies of course not ice cream mwah,no,n a
 what 039 s the furthest you 039 ve ever traveled virginia,no,n a
 what 039 s the longest you 039 ve ever gone without a bath or shower haha maybe 2days lol idk,no,n a
 what 039 s the most delicious meal you 039 ve ever had wow this is a hard 1 i dnt think ive had 1 or i have many i love my smoothies tho yummie ,no,n a
 what 039 s the origin of your name idk its a month that 4 sure lol,no,n a
 what 039 s the weirdest thing you 039 ve ever eaten a piece of grass ,no,n a
 what 039 s the weirdest thing you 039 ve ever eaten i havent gotten 2 that part haha,no,n a
 what 039 s your best achievement wow awesome question i think my best achievement would be quot finding who i am quot thats thee most important 33,no,n a
 what 039 s your biggest phobia ummmm messy rooms ,no,n a
 what 039 s your dream car something cute and me haha you kno well a beamer is my dream car basically or a porshe ,no,n a
 what 039 s your earliest memory haha staring at my doctor thru sunglasses while he was in my mouth hahaha ,no,n a
 what 039 s your fave song my fav song girly is umm up amp running by jessicajarrell atm but i have lots hbu ,no,n a
 what 039 s your favorite drink mmm root beer haha my fav drink eva pow,no,n a
 what 039 s your favorite food actually its cabbage d,no,n a
 what 039 s your favorite genre of music pop ,no,n a
 what 039 s your favorite movie quote crap this is hard haha umm quot people need inspiration quot the last song 33,no,n a
 what 039 s your favorite season of the year summer ,no,n a
 what 039 s your favorite season of the year summer ,no,none
 what 039 s your favorite type of flower pink roses ,no,n a
 what 039 s your favourite colour pink amp neon green ,no,n a
 what 039 s your favourite colour pink amp neon green ,no,n 
 what 039 s your favourite movie umm a walk to remember or the last song ugh theirs alot haha hbu ,no,n a
 what 039 s yur fav color pink amp neon green yeahh buddie,no,n a
 whats ur fav tv showww 3 umm good question i have many bhut i guess 16 and pregnant would be 1 of my fav ones atm d,no,none
 whats ur fav tv showww 3 umm good question i have many bhut i guess 16 and pregnant would be 1 of my fav ones atm d,no,n a
 when ever you go to google translate dont use it trust me hahaha wht are u tlkn bout girl ,no,n a
 when was the last time you gave flowers never ,no,n a
 when you were a kid what did you want to be when you grew up actually i was that kid who wanted to be by herself so i guess when i grow up im going to be me lol hard question 2 answer ,no,n a
 where are ya from u s a known as mars 3,no,n a
 where would you like to spend your retirement haha when i turn 60 ish ask me this lol,no,n a
 where would you most like to live los angeles 33,no,n a
 where 039 s your ideal holiday destination umm dallas texas haha idk im so plain so idk mwhaha,no,n a
 who and when was your first kiss umm long time ago bhut i was like 5 or 6 haha cory ,no,n a
 who are your top three celebrity crushes yumm justin bieber p diddys son jdoir yummm haha not really a celeb bhut yeah amp amp channing fckn tatum haha oh damn ,no,n a
 who are your twitter besties ohh mann this is a great chrissy michelle savannah aj bianca and lotss more you 33,no,n a
 who decided to take a shit on your face im not quite sure ill tell ya when i find out i promise ,yes,shit on your face
 who decided to take a shit on your face im not quite sure ill tell ya when i find out i promise ,yes,who decided to take a shit on your face 
 who do you think should be the next president of the united states umm barack obama 4 another 4 years ilovehim ,no,n a
 who was the best teacher you 039 ve ever had mmmh my second grade teach mrs caldwell 3,no,n a
 who 039 s the funniest person you know prob me or my seester robbie hahaha makes me wanna shit myself everytime she speaks lol,no,n a
 who 039 s the most famous person you 039 ve met urgh no1 yet keep hopin though ,no,n a
 who 039 s the most overrated athlete michael jackson haha wait wrong one michael jordon i meant ahah,no,none
 who 039 s the most overrated athlete michael jackson haha wait wrong one michael jordon i meant ahah,no,n a
 who 039 s the prettiest person you know idkk mwauuuhhh ,no,n a
 who 039 s the sexiest woman alive i do not judge gyrls im not bi or a lezzboo k thanks ,no,n a
 who 039 s the smartest person you know justinbsource 4 sure lmao ,no,n a
 who 039 s the smartest person you know justinbsource 4 sure lmao ,yes,n a
 why do u follow the bandwagon formspring twitter what 039 s next gay justin beiber well im not following anything and really bandwagon soo oldd its more like trend these days justin bieber idiot cnt spell ,yes,idiot cnt spell 
 why do u follow the bandwagon formspring twitter what 039 s next gay justin beiber well im not following anything and really bandwagon soo oldd its more like trend these days justin bieber idiot cnt spell ,yes, gay 
 why do u like lil kids like justin beiber umm he has a bigga heart than you will ever have so before you start to hate on a 16yr old that you obviously are addicted to get your facts straight kay ,no,n a
 why do u like lil kids like justin beiber umm he has a bigga heart than you will ever have so before you start to hate on a 16yr old that you obviously are addicted to get your facts straight kay ,yes, like lil kids 
 why do u like that beiber kid so much he 039 s lame and can 039 t sing umm u kno wht wtf ever stop hatin ,no,n a
 why do u like that beiber kid so much he 039 s lame and can 039 t sing umm u kno wht wtf ever stop hatin ,yes,none
 woaahhhhhh likee dude i 039 m in youhr backround awesomeeee 3 ilybbyy marryyyyy lol itss yuhh boo hahaha noo durr suckkaaa nahhh i loveee yuhhhh moooee ,no,n a
 woaahhhhhh likee dude i 039 m in youhr backround awesomeeee 3 ilybbyy marryyyyy lol itss yuhh boo hahaha noo durr suckkaaa nahhh i loveee yuhhhh moooee ,no,none
 would u ever go bungee jumping like justin did hahaha i think i would i always do thee same shizz all thee tyme so yes i would hbu d,no,n a
 would you rather be a famous musician or a famous actor not a guy haha maybe a cheerleader haha jkjk ,no,n a
 would you rather be a vampire or a werewolf werewolf aka jacob s pride lol his good part lol,no,n a
 would you rather be a zombie or a mummy zombie 4sho ,no,n a
 would you rather be rich or famous famous bhut im me 4 rite now ,no,n a
 would you rather date a lot of different people or be in a committed relationship both lol jk,no,n a
 would you rather date a lot of different people or be in a committed relationship both lol jk,no,none
 would you rather get up early or sleep late sleep late duh ,no,n a
 would you rather own a luxury yacht or a private jet jet hate boats worst experience ever was on a boat never again ,no,n a
 would you rather swim in a pool or the ocean pool,no,n a
 would you rather work at a large company or a small one none haha,no,n a
 yea it 039 s different from warm cali but 039 s cool weeeell gtg now gonna meet some friends i a few minutes lol bye xx ohh man i bet its tha shit ohhkayy be safe have fun 33,no,n a
 yeh you r right how should the 1 be i have no bf too yehh hahaha idk its weird boys r boys so im me alone hahah,no,n a
 yooooo mate rinnalovesjb here heyhey ask me anything hahaha ight,no,n a
 you need or should delete that 911 tweet not funny at all you know how many people died that day including my father and brother umm im truly sorry bhut i didnt mean it in anyway like u obviously got offended by and i said it wasnt funny so before you get all angry nd shit ill delete that tweet kthanks btw rip ur daddy and brother,no,n a
 you need or should delete that 911 tweet not funny at all you know how many people died that day including my father and brother umm im truly sorry bhut i didnt mean it in anyway like u obviously got offended by and i said it wasnt funny so before you get all angry nd shit ill delete that tweet kthanks btw rip ur daddy and brother,yes, angry nd shit 
 your attitude is so fun thank yuh soo muchh d im likin yurs 2 mwah ,no,n a
 nada ummm what u didnt know jose was my first kiss ,no,na
 nada ummm what u didnt know jose was my first kiss ,no,n a
 o lol no freaking way btw i didnt ask that no freaking way what ,no,n a
 ahhh true true plus it plays music xd exactly ,no,n a
 if you had to give up one favorite food what would the most difficult ahh probably cookies d ,no,n a
 pshhh liar haha im not a liar ,no,n a
 what did you eat for breakfast today cereal ,no,n a
 what do you think is your most attractive feature ewwiee nothing haha ,no,n a
 what is one thing you can 039 t live without its me right hahaha of c,no,n a
 what is your biggest accomplishment ummm probably playing softball for 10 years ,no,n a
 what was your favorite birthday gift a neckalce given to me by my love 3333,no,n a
 what 039 s the best place near you to get a drink starbuckks ,no,n a
 what 039 s your favourite part to watch in rent hmmmm think the part where te guy at support sings tht part makes me tear up la ve boheme is a good one two,no,n a
 where 039 d you find out about formspring me umm bunch of people just joined and i got bored so i wanted too ,no,n a
 who was ur first kiss umm haha i dont know why you want to kn,no,n a
 why u so perfect hahaha im the farthest from,no,n a
 why u so perfect hahaha im the farthest from,no,none
 are you wearing the p i m not wearing,no,n a
 do you have a boyfriend yess ,no,n a
 can you come to my party tonightt who iss thiiis ,no,n a
 damn i hate shiiiit talkers on formspringgg i thought it was just a random question site thing ahaha thankss kidd ndd yeah i knoo reallyy huh theeree soo stupidd there to scaredd to sayy anythingg too myy face,no,n a
 i heart 3 youu ahahah ii loveeee yuuuu moreee ,no,n a
 i lovee joiee 3 ii lovee yuuu moree p,no,n a
 i wub you joie ahaha hii ceara ,no,n a
 is jon the person u like noo itss nottt,no,n a
 joie is beautifulllll aww thankss yuu aree to,no,n a
 joiieeeee i lalalovee youu 3 ahaha,no,n a
 lmao quot yurr reall funny skinny ass bitchh quot hm that isn 039 t really much of an insult now is it what if i was fat lol u suck at talkn shit later white trash skank ur super ugly nd that guy u like really isnt gonna come back around for u laterrrr ahhaha yuurr funnyy reall funny ndd i dntt want hatt guy too comee bckk too mee anyyy moree ndd yeahh i suck at tlking shit i jstt dntt tlk shitt over thiss i wouldd tlk itt to yuurr face iff i knew whoo thiss wass bitch gett a life ndd stopp worrying aboutt mines ,yes, bitchh talkn shit white trash skank super ugly bitch etc 
 lmao quot yurr reall funny skinny ass bitchh quot hm that isn 039 t really much of an insult now is it what if i was fat lol u suck at talkn shit later white trash skank ur super ugly nd that guy u like really isnt gonna come back around for u laterrrr ahhaha yuurr funnyy reall funny ndd i dntt want hatt guy too comee bckk too mee anyyy moree ndd yeahh i suck at tlking shit i jstt dntt tlk shitt over thiss i wouldd tlk itt to yuurr face iff i knew whoo thiss wass bitch gett a life ndd stopp worrying aboutt mines ,yes, q lmao yurr reall funny skinny ass bitchh hm that isn t really much of an insult now is it what if i was fat lol u suck at talkn shit later white trash skank ur super ugly nd that guy u like really isnt gonna come back around for u laterrrr a ahhaha yuurr funnyy reall funny ndd i dntt want hatt guy too comee bckk too mee anyyy moree ndd yeahh i suck at tlking shit i jstt dntt tlk shitt over thiss i wouldd tlk itt to yuurr face iff i knew whoo thiss wass bitch gett a life ndd stopp worrying aboutt mines 
 lmao quot yurr reall funny skinny ass bitchh quot hm that isn 039 t really much of an insult now is it what if i was fat lol u suck at talkn shit later white trash skank ur super ugly nd that guy u like really isnt gonna come back around for u laterrrr ahhaha yuurr funnyy reall funny ndd i dntt want hatt guy too comee bckk too mee anyyy moree ndd yeahh i suck at tlking shit i jstt dntt tlk shitt over thiss i wouldd tlk itt to yuurr face iff i knew whoo thiss wass bitch gett a life ndd stopp worrying aboutt mines ,yes,later white trash skank bitch 
